"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US150010210173","Block Group 3; Census Tract 210.17; Hawaii County; Hawaii","1753","405",
"1500000US150010211011","Block Group 1; Census Tract 211.01; Hawaii County; Hawaii","25","33",
"1500000US150010211012","Block Group 2; Census Tract 211.01; Hawaii County; Hawaii","1801","341",
"1500000US150010211013","Block Group 3; Census Tract 211.01; Hawaii County; Hawaii","1208","233",
"1500000US150010211071","Block Group 1; Census Tract 211.07; Hawaii County; Hawaii","1063","210",
"1500000US150010211081","Block Group 1; Census Tract 211.08; Hawaii County; Hawaii","1669","701",
"1500000US150010211082","Block Group 2; Census Tract 211.08; Hawaii County; Hawaii","2906","821",
"1500000US150010211083","Block Group 3; Census Tract 211.08; Hawaii County; Hawaii","2251","643",
"1500000US150010212031","Block Group 1; Census Tract 212.03; Hawaii County; Hawaii","1829","625",
"1500000US150010212032","Block Group 2; Census Tract 212.03; Hawaii County; Hawaii","1810","758",
"1500000US150010212033","Block Group 3; Census Tract 212.03; Hawaii County; Hawaii","2166","889",
"1500000US150010212034","Block Group 4; Census Tract 212.03; Hawaii County; Hawaii","284","148",
"1500000US150010212041","Block Group 1; Census Tract 212.04; Hawaii County; Hawaii","811","315",
"1500000US150010212042","Block Group 2; Census Tract 212.04; Hawaii County; Hawaii","455","147",
"1500000US150010212043","Block Group 3; Census Tract 212.04; Hawaii County; Hawaii","1324","269",
"1500000US150010213001","Block Group 1; Census Tract 213; Hawaii County; Hawaii","1378","486",
"1500000US150010213002","Block Group 2; Census Tract 213; Hawaii County; Hawaii","1627","578",
"1500000US150010213003","Block Group 3; Census Tract 213; Hawaii County; Hawaii","2328","735",
"1500000US150010213004","Block Group 4; Census Tract 213; Hawaii County; Hawaii","658","359",
"1500000US150010214021","Block Group 1; Census Tract 214.02; Hawaii County; Hawaii","1259","540",
"1500000US150010214022","Block Group 2; Census Tract 214.02; Hawaii County; Hawaii","2563","664",
"1500000US150010215021","Block Group 1; Census Tract 215.02; Hawaii County; Hawaii","2025","512",
"1500000US150010215022","Block Group 2; Census Tract 215.02; Hawaii County; Hawaii","2185","587",
"1500000US150010215023","Block Group 3; Census Tract 215.02; Hawaii County; Hawaii","1201","370",
"1500000US150010215041","Block Group 1; Census Tract 215.04; Hawaii County; Hawaii","3276","673",
"1500000US150010215042","Block Group 2; Census Tract 215.04; Hawaii County; Hawaii","3424","715",
"1500000US150010215101","Block Group 1; Census Tract 215.10; Hawaii County; Hawaii","1312","498",
"1500000US150010215102","Block Group 2; Census Tract 215.10; Hawaii County; Hawaii","758","295",
"1500000US150010215103","Block Group 3; Census Tract 215.10; Hawaii County; Hawaii","857","348",
"1500000US150010215104","Block Group 4; Census Tract 215.10; Hawaii County; Hawaii","489","209",
"1500000US150010215111","Block Group 1; Census Tract 215.11; Hawaii County; Hawaii","1948","502",
"1500000US150010215121","Block Group 1; Census Tract 215.12; Hawaii County; Hawaii","2102","505",
"1500000US150010215122","Block Group 2; Census Tract 215.12; Hawaii County; Hawaii","2252","512",
"1500000US150010215131","Block Group 1; Census Tract 215.13; Hawaii County; Hawaii","1638","605",
"1500000US150010215132","Block Group 2; Census Tract 215.13; Hawaii County; Hawaii","1802","676",
"1500000US150010215133","Block Group 3; Census Tract 215.13; Hawaii County; Hawaii","2296","808",
"1500000US150010216051","Block Group 1; Census Tract 216.05; Hawaii County; Hawaii","1354","662",
"1500000US150010216052","Block Group 2; Census Tract 216.05; Hawaii County; Hawaii","928","298",
"1500000US150010216053","Block Group 3; Census Tract 216.05; Hawaii County; Hawaii","1886","597",
"1500000US150010216061","Block Group 1; Census Tract 216.06; Hawaii County; Hawaii","2051","763",
"1500000US150010216062","Block Group 2; Census Tract 216.06; Hawaii County; Hawaii","2230","600",
"1500000US150010216071","Block Group 1; Census Tract 216.07; Hawaii County; Hawaii","1632","630",
"1500000US150010216072","Block Group 2; Census Tract 216.07; Hawaii County; Hawaii","1186","413",
"1500000US150010216073","Block Group 3; Census Tract 216.07; Hawaii County; Hawaii","1530","402",
"1500000US150010216081","Block Group 1; Census Tract 216.08; Hawaii County; Hawaii","546","284",
"1500000US150010216082","Block Group 2; Census Tract 216.08; Hawaii County; Hawaii","1318","687",
"1500000US150010216083","Block Group 3; Census Tract 216.08; Hawaii County; Hawaii","1898","563",
"1500000US150010216084","Block Group 4; Census Tract 216.08; Hawaii County; Hawaii","981","703",
"1500000US150010217051","Block Group 1; Census Tract 217.05; Hawaii County; Hawaii","2587","880",
"1500000US150010217052","Block Group 2; Census Tract 217.05; Hawaii County; Hawaii","952","319",
"1500000US150010217053","Block Group 3; Census Tract 217.05; Hawaii County; Hawaii","2174","804",
"1500000US150010217061","Block Group 1; Census Tract 217.06; Hawaii County; Hawaii","2066","718",
"1500000US150010217062","Block Group 2; Census Tract 217.06; Hawaii County; Hawaii","1942","353",
"1500000US150010217071","Block Group 1; Census Tract 217.07; Hawaii County; Hawaii","2563","510",
"1500000US150010217072","Block Group 2; Census Tract 217.07; Hawaii County; Hawaii","1642","592",
"1500000US150010217073","Block Group 3; Census Tract 217.07; Hawaii County; Hawaii","350","188",
"1500000US150010217081","Block Group 1; Census Tract 217.08; Hawaii County; Hawaii","1137","244",
"1500000US150010217082","Block Group 2; Census Tract 217.08; Hawaii County; Hawaii","1514","641",
"1500000US150010217083","Block Group 3; Census Tract 217.08; Hawaii County; Hawaii","1824","680",
"1500000US150010218001","Block Group 1; Census Tract 218; Hawaii County; Hawaii","1330","326",
"1500000US150010218002","Block Group 2; Census Tract 218; Hawaii County; Hawaii","2452","542",
"1500000US150010218003","Block Group 3; Census Tract 218; Hawaii County; Hawaii","2135","567",
"1500000US150010218004","Block Group 4; Census Tract 218; Hawaii County; Hawaii","1236","408",
"1500000US150010219021","Block Group 1; Census Tract 219.02; Hawaii County; Hawaii","1865","462",
"1500000US150010219022","Block Group 2; Census Tract 219.02; Hawaii County; Hawaii","739","364",
"1500000US150010219023","Block Group 3; Census Tract 219.02; Hawaii County; Hawaii","1079","439",
"1500000US150010220001","Block Group 1; Census Tract 220; Hawaii County; Hawaii","1170","347",
"1500000US150010220002","Block Group 2; Census Tract 220; Hawaii County; Hawaii","1158","240",
"1500000US150010221021","Block Group 1; Census Tract 221.02; Hawaii County; Hawaii","697","373",
"1500000US150010221022","Block Group 2; Census Tract 221.02; Hawaii County; Hawaii","900","281",
"1500000US150019900000","Block Group 0; Census Tract 9900; Hawaii County; Hawaii","0","12",
"1500000US150019901000","Block Group 0; Census Tract 9901; Hawaii County; Hawaii","0","12",
"1500000US150019903000","Block Group 0; Census Tract 9903; Hawaii County; Hawaii","0","12",
"1500000US150019904000","Block Group 0; Census Tract 9904; Hawaii County; Hawaii","0","12",
"1500000US150019905000","Block Group 0; Census Tract 9905; Hawaii County; Hawaii","0","12",
"1500000US150019906000","Block Group 0; Census Tract 9906; Hawaii County; Hawaii","0","12",
"1500000US150019907000","Block Group 0; Census Tract 9907; Hawaii County; Hawaii","0","12",
"1500000US150019908000","Block Group 0; Census Tract 9908; Hawaii County; Hawaii","0","12",
"1500000US150019909000","Block Group 0; Census Tract 9909; Hawaii County; Hawaii","0","12",
"1500000US150019910000","Block Group 0; Census Tract 9910; Hawaii County; Hawaii","0","12",
"1500000US150019911000","Block Group 0; Census Tract 9911; Hawaii County; Hawaii","0","12",
"1500000US150019912000","Block Group 0; Census Tract 9912; Hawaii County; Hawaii","0","12",
"1500000US150019913000","Block Group 0; Census Tract 9913; Hawaii County; Hawaii","0","12",
"1500000US150019914000","Block Group 0; Census Tract 9914; Hawaii County; Hawaii","0","12",
"1500000US150019915000","Block Group 0; Census Tract 9915; Hawaii County; Hawaii","0","12",
"1500000US150019916000","Block Group 0; Census Tract 9916; Hawaii County; Hawaii","0","12",
"1500000US150019917000","Block Group 0; Census Tract 9917; Hawaii County; Hawaii","0","12",
"1500000US150030001071","Block Group 1; Census Tract 1.07; Honolulu County; Hawaii","1815","257",
"1500000US150030001072","Block Group 2; Census Tract 1.07; Honolulu County; Hawaii","1155","205",
"1500000US150030001081","Block Group 1; Census Tract 1.08; Honolulu County; Hawaii","955","225",
"1500000US150030001082","Block Group 2; Census Tract 1.08; Honolulu County; Hawaii","1210","382",
"1500000US150030001083","Block Group 3; Census Tract 1.08; Honolulu County; Hawaii","1213","457",
"1500000US150030001101","Block Group 1; Census Tract 1.10; Honolulu County; Hawaii","1295","350",
"1500000US150030001102","Block Group 2; Census Tract 1.10; Honolulu County; Hawaii","837","343",
"1500000US150030001103","Block Group 3; Census Tract 1.10; Honolulu County; Hawaii","1741","384",
"1500000US150030001104","Block Group 4; Census Tract 1.10; Honolulu County; Hawaii","576","251",
"1500000US150030001141","Block Group 1; Census Tract 1.14; Honolulu County; Hawaii","460","94",
"1500000US150030001142","Block Group 2; Census Tract 1.14; Honolulu County; Hawaii","904","244",
"1500000US150030001151","Block Group 1; Census Tract 1.15; Honolulu County; Hawaii","1291","438",
"1500000US150030001152","Block Group 2; Census Tract 1.15; Honolulu County; Hawaii","630","296",
"1500000US150030001153","Block Group 3; Census Tract 1.15; Honolulu County; Hawaii","278","127",
"1500000US150030001161","Block Group 1; Census Tract 1.16; Honolulu County; Hawaii","2366","395",
"1500000US150030001171","Block Group 1; Census Tract 1.17; Honolulu County; Hawaii","1840","363",
"1500000US150030001181","Block Group 1; Census Tract 1.18; Honolulu County; Hawaii","1703","283",
"1500000US150030001191","Block Group 1; Census Tract 1.19; Honolulu County; Hawaii","1260","346",
"1500000US150030001192","Block Group 2; Census Tract 1.19; Honolulu County; Hawaii","1197","552",
"1500000US150030001193","Block Group 3; Census Tract 1.19; Honolulu County; Hawaii","383","117",
"1500000US150030001201","Block Group 1; Census Tract 1.20; Honolulu County; Hawaii","675","171",
"1500000US150030001202","Block Group 2; Census Tract 1.20; Honolulu County; Hawaii","727","223",
"1500000US150030001203","Block Group 3; Census Tract 1.20; Honolulu County; Hawaii","954","190",
"1500000US150030001211","Block Group 1; Census Tract 1.21; Honolulu County; Hawaii","1696","253",
"1500000US150030001212","Block Group 2; Census Tract 1.21; Honolulu County; Hawaii","741","211",
"1500000US150030001221","Block Group 1; Census Tract 1.22; Honolulu County; Hawaii","1304","585",
"1500000US150030001222","Block Group 2; Census Tract 1.22; Honolulu County; Hawaii","621","269",
"1500000US150030001223","Block Group 3; Census Tract 1.22; Honolulu County; Hawaii","1086","399",
"1500000US150030002001","Block Group 1; Census Tract 2; Honolulu County; Hawaii","830","303",
"1500000US150030002002","Block Group 2; Census Tract 2; Honolulu County; Hawaii","939","598",
"1500000US150030002003","Block Group 3; Census Tract 2; Honolulu County; Hawaii","1629","428",
"1500000US150030002004","Block Group 4; Census Tract 2; Honolulu County; Hawaii","1101","468",
"1500000US150030002005","Block Group 5; Census Tract 2; Honolulu County; Hawaii","735","204",
"1500000US150030002006","Block Group 6; Census Tract 2; Honolulu County; Hawaii","602","225",
"1500000US150030003011","Block Group 1; Census Tract 3.01; Honolulu County; Hawaii","2213","505",
"1500000US150030003012","Block Group 2; Census Tract 3.01; Honolulu County; Hawaii","1325","265",
"1500000US150030003021","Block Group 1; Census Tract 3.02; Honolulu County; Hawaii","1299","316",
"1500000US150030003022","Block Group 2; Census Tract 3.02; Honolulu County; Hawaii","1490","337",
"1500000US150030004011","Block Group 1; Census Tract 4.01; Honolulu County; Hawaii","905","304",
"1500000US150030004012","Block Group 2; Census Tract 4.01; Honolulu County; Hawaii","2334","279",
"1500000US150030004021","Block Group 1; Census Tract 4.02; Honolulu County; Hawaii","708","184",
"1500000US150030004022","Block Group 2; Census Tract 4.02; Honolulu County; Hawaii","2451","597",
"1500000US150030004023","Block Group 3; Census Tract 4.02; Honolulu County; Hawaii","1139","527",
"1500000US150030005001","Block Group 1; Census Tract 5; Honolulu County; Hawaii","737","290",
"1500000US150030005002","Block Group 2; Census Tract 5; Honolulu County; Hawaii","742","288",
"1500000US150030005003","Block Group 3; Census Tract 5; Honolulu County; Hawaii","567","172",
"1500000US150030005004","Block Group 4; Census Tract 5; Honolulu County; Hawaii","833","256",
"1500000US150030005005","Block Group 5; Census Tract 5; Honolulu County; Hawaii","747","277",
"1500000US150030006001","Block Group 1; Census Tract 6; Honolulu County; Hawaii","0","12",
"1500000US150030006002","Block Group 2; Census Tract 6; Honolulu County; Hawaii","1039","248",
"1500000US150030007001","Block Group 1; Census Tract 7; Honolulu County; Hawaii","793","222",
"1500000US150030007002","Block Group 2; Census Tract 7; Honolulu County; Hawaii","452","126",
"1500000US150030007003","Block Group 3; Census Tract 7; Honolulu County; Hawaii","751","295",
"1500000US150030007004","Block Group 4; Census Tract 7; Honolulu County; Hawaii","1250","383",
"1500000US150030008001","Block Group 1; Census Tract 8; Honolulu County; Hawaii","1164","378",
"1500000US150030008002","Block Group 2; Census Tract 8; Honolulu County; Hawaii","1215","312",
"1500000US150030008003","Block Group 3; Census Tract 8; Honolulu County; Hawaii","1829","616",
"1500000US150030009011","Block Group 1; Census Tract 9.01; Honolulu County; Hawaii","1141","299",
"1500000US150030009012","Block Group 2; Census Tract 9.01; Honolulu County; Hawaii","1257","252",
"1500000US150030009031","Block Group 1; Census Tract 9.03; Honolulu County; Hawaii","980","227",
"1500000US150030009032","Block Group 2; Census Tract 9.03; Honolulu County; Hawaii","1531","339",
"1500000US150030009041","Block Group 1; Census Tract 9.04; Honolulu County; Hawaii","2568","1250",
"1500000US150030009051","Block Group 1; Census Tract 9.05; Honolulu County; Hawaii","1089","288",
"1500000US150030009052","Block Group 2; Census Tract 9.05; Honolulu County; Hawaii","1161","192",
"1500000US150030010001","Block Group 1; Census Tract 10; Honolulu County; Hawaii","1623","452",
"1500000US150030010002","Block Group 2; Census Tract 10; Honolulu County; Hawaii","1239","270",
"1500000US150030011011","Block Group 1; Census Tract 11.01; Honolulu County; Hawaii","880","252",
"1500000US150030011012","Block Group 2; Census Tract 11.01; Honolulu County; Hawaii","899","424",
"1500000US150030011021","Block Group 1; Census Tract 11.02; Honolulu County; Hawaii","984","299",
"1500000US150030011022","Block Group 2; Census Tract 11.02; Honolulu County; Hawaii","910","340",
"1500000US150030012011","Block Group 1; Census Tract 12.01; Honolulu County; Hawaii","967","340",
"1500000US150030012012","Block Group 2; Census Tract 12.01; Honolulu County; Hawaii","2068","417",
"1500000US150030012021","Block Group 1; Census Tract 12.02; Honolulu County; Hawaii","1910","339",
"1500000US150030012022","Block Group 2; Census Tract 12.02; Honolulu County; Hawaii","1016","505",
"1500000US150030013001","Block Group 1; Census Tract 13; Honolulu County; Hawaii","1143","314",
"1500000US150030013002","Block Group 2; Census Tract 13; Honolulu County; Hawaii","1478","635",
"1500000US150030013003","Block Group 3; Census Tract 13; Honolulu County; Hawaii","1018","342",
"1500000US150030013004","Block Group 4; Census Tract 13; Honolulu County; Hawaii","740","242",
"1500000US150030014001","Block Group 1; Census Tract 14; Honolulu County; Hawaii","1070","366",
"1500000US150030014002","Block Group 2; Census Tract 14; Honolulu County; Hawaii","1737","334",
"1500000US150030015011","Block Group 1; Census Tract 15.01; Honolulu County; Hawaii","2001","553",
"1500000US150030015021","Block Group 1; Census Tract 15.02; Honolulu County; Hawaii","931","253",
"1500000US150030015022","Block Group 2; Census Tract 15.02; Honolulu County; Hawaii","1104","291",
"1500000US150030016011","Block Group 1; Census Tract 16.01; Honolulu County; Hawaii","1348","264",
"1500000US150030016012","Block Group 2; Census Tract 16.01; Honolulu County; Hawaii","640","269",
"1500000US150030016021","Block Group 1; Census Tract 16.02; Honolulu County; Hawaii","771","151",
"1500000US150030016022","Block Group 2; Census Tract 16.02; Honolulu County; Hawaii","914","389",
"1500000US150030017001","Block Group 1; Census Tract 17; Honolulu County; Hawaii","1369","325",
"1500000US150030017002","Block Group 2; Census Tract 17; Honolulu County; Hawaii","828","235",
"1500000US150030018011","Block Group 1; Census Tract 18.01; Honolulu County; Hawaii","395","175",
"1500000US150030018012","Block Group 2; Census Tract 18.01; Honolulu County; Hawaii","381","143",
"1500000US150030018031","Block Group 1; Census Tract 18.03; Honolulu County; Hawaii","823","272",
"1500000US150030018032","Block Group 2; Census Tract 18.03; Honolulu County; Hawaii","310","140",
"1500000US150030018033","Block Group 3; Census Tract 18.03; Honolulu County; Hawaii","1014","335",
"1500000US150030018034","Block Group 4; Census Tract 18.03; Honolulu County; Hawaii","712","219",
"1500000US150030018041","Block Group 1; Census Tract 18.04; Honolulu County; Hawaii","622","170",
"1500000US150030018042","Block Group 2; Census Tract 18.04; Honolulu County; Hawaii","833","241",
"1500000US150030019011","Block Group 1; Census Tract 19.01; Honolulu County; Hawaii","497","147",
"1500000US150030019051","Block Group 1; Census Tract 19.05; Honolulu County; Hawaii","328","140",
"1500000US150030019052","Block Group 2; Census Tract 19.05; Honolulu County; Hawaii","911","206",
"1500000US150030019061","Block Group 1; Census Tract 19.06; Honolulu County; Hawaii","532","162",
"1500000US150030019062","Block Group 2; Census Tract 19.06; Honolulu County; Hawaii","1382","348",
"1500000US150030019063","Block Group 3; Census Tract 19.06; Honolulu County; Hawaii","1211","250",
"1500000US150030019071","Block Group 1; Census Tract 19.07; Honolulu County; Hawaii","1387","736",
"1500000US150030019072","Block Group 2; Census Tract 19.07; Honolulu County; Hawaii","331","138",
"1500000US150030019073","Block Group 3; Census Tract 19.07; Honolulu County; Hawaii","930","230",
"1500000US150030020031","Block Group 1; Census Tract 20.03; Honolulu County; Hawaii","803","218",
"1500000US150030020032","Block Group 2; Census Tract 20.03; Honolulu County; Hawaii","996","279",
"1500000US150030020041","Block Group 1; Census Tract 20.04; Honolulu County; Hawaii","655","128",
"1500000US150030020042","Block Group 2; Census Tract 20.04; Honolulu County; Hawaii","723","183",
"1500000US150030020051","Block Group 1; Census Tract 20.05; Honolulu County; Hawaii","884","264",
"1500000US150030020052","Block Group 2; Census Tract 20.05; Honolulu County; Hawaii","817","290",
"1500000US150030020061","Block Group 1; Census Tract 20.06; Honolulu County; Hawaii","750","194",
